session_id,log_id,flow_id,flow_name,node_name,node_type,user_id,message,create_date,update_date,neg,neu,pos
29514484,246129387,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3kv06pa@FrogueId,,2022-05-25 9:39:52.2,2022-05-25 9:39:52.2,0,0,0
29514484,246129388,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-25 9:39:52.2,2022-05-25 9:39:52.2,0,0,0
29514484,246129389,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-25 9:39:52.2,2022-05-25 9:39:52.2,0,0,0
29514488,246129399,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3kv0ab4@FrogueId,,2022-05-25 9:39:57.9,2022-05-25 9:39:57.9,0,0,0
29514488,246129400,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-25 9:39:57.9,2022-05-25 9:39:57.9,0,0,0
29514488,246129401,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-25 9:39:58.0,2022-05-25 9:39:58.0,0,0,0
29514491,246129406,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3kv0csy@FrogueId,,2022-05-25 9:40:00.7,2022-05-25 9:40:00.7,0,0,0
29514491,246129407,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-25 9:40:00.8,2022-05-25 9:40:00.8,0,0,0
29514491,246129408,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-25 9:40:00.8,2022-05-25 9:40:00.8,0,0,0
29514493,246129453,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3kv0e8s@FrogueId,,2022-05-25 9:40:03.5,2022-05-25 9:40:03.5,0,0,0
29514493,246129454,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-25 9:40:03.5,2022-05-25 9:40:03.5,0,0,0
29514493,246129456,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-25 9:40:03.5,2022-05-25 9:40:03.5,0,0,0
29514497,246129507,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3kv0p5w@FrogueId,,2022-05-25 9:40:16.7,2022-05-25 9:40:16.7,0,0,0
29514497,246129508,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-25 9:40:16.8,2022-05-25 9:40:16.8,0,0,0
29514497,246129509,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-25 9:40:16.8,2022-05-25 9:40:16.8,0,0,0
