session_id,log_id,flow_id,flow_name,node_name,node_type,user_id,message,create_date,update_date,neg,neu,pos
29527652,246205745,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3m9wjka@FrogueId,,2022-05-26 9:24:46.4,2022-05-26 9:24:46.4,0,0,0
29527652,246205746,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-26 9:24:46.5,2022-05-26 9:24:46.5,0,0,0
29527652,246205747,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-26 9:24:46.5,2022-05-26 9:24:46.5,0,0,0
29527654,246205750,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3m9ws6n@FrogueId,,2022-05-26 9:24:58.3,2022-05-26 9:24:58.3,0,0,0
29527654,246205751,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-26 9:24:58.3,2022-05-26 9:24:58.3,0,0,0
29527654,246205752,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-26 9:24:58.3,2022-05-26 9:24:58.3,0,0,0
29527661,246205778,FLOWD000000000110567,[운동 에너지] 0. 시작,Listen Node,listen,l3m9xcsr@FrogueId,,2022-05-26 9:25:25.4,2022-05-26 9:25:25.4,0,0,0
29527661,246205779,FLOWD000000000110567,[운동 에너지] 0. 시작,username = 0?,split,chatbot,[Condition],2022-05-26 9:25:25.4,2022-05-26 9:25:25.4,0,0,0
29527661,246205780,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-26 9:25:25.5,2022-05-26 9:25:25.5,0,0,0
29527652,246205790,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,l3m9wjka@FrogueId,읽동훉,2022-05-26 9:25:50.0,2022-05-26 9:25:50.0,0,0,0
29527652,246205791,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,chatbot,"휴먼의 이름은  ""#{username}"". 맞습니까?",2022-05-26 9:25:50.1,2022-05-26 9:25:50.1,0,0,0
29527654,246205792,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,l3m9ws6n@FrogueId, 김정밈이요,2022-05-26 9:25:55.0,2022-05-26 9:25:55.0,0,0,0
29527654,246205793,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,chatbot,"휴먼의 이름은  ""#{username}"". 맞습니까?",2022-05-26 9:25:55.0,2022-05-26 9:25:55.0,0,0,0
29527652,246205794,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,l3m9wjka@FrogueId,맞아요.,2022-05-26 9:25:57.8,2022-05-26 9:25:57.8,0,0,0
29527652,246205795,FLOWD000000000110567,[운동 에너지] 0. 시작,First page,speak,chatbot,"[시작 페이지] 안녕하세요, 읽동훉님? [Ⅲ-2. 일과 에너지]를 배우고 있는 중입니다. ▶ [확인 문제]: 확인 문제(빈 칸 채우기)를 시작합니다. ▶ [형성 평가 문제]: 형성 평가 문제를 시작합니다. ▶ [FAQ] 질문하기: 이번 단원 질문 내용이 있으면 채팅으로 질문할 수 있습니다. ▶ [후기 남기기]: 챗봇을 사용한 후기를 남길 수 있습니다.  ▶ 언제든 '시작' 또는 '처음으로'를 입력하면 처음 상태로 돌아올 수 있습니다.",2022-05-26 9:25:57.8,2022-05-26 9:25:57.8,0,0,0
29527654,246205800,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,l3m9ws6n@FrogueId,아니에요. 다시 말할게요.,2022-05-26 9:26:03.2,2022-05-26 9:26:03.2,0,0,0
29527654,246205801,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-26 9:26:03.2,2022-05-26 9:26:03.2,0,0,0
29527652,246205802,FLOWD000000000110712,[Mo] 형성평가,형성평가 Start,listen,l3m9wjka@FrogueId,[형성 평가 문제],2022-05-26 9:26:03.4,2022-05-26 9:26:03.4,0,0,0
29527652,246205803,FLOWD000000000110712,[Mo] 형성평가,Function Node6,function,chatbot,Running function,2022-05-26 9:26:03.5,2022-05-26 9:26:03.5,0,0,0
29527652,246205804,FLOWD000000000110712,[Mo] 형성평가,State? (setting or go to prob),split,chatbot,[Condition],2022-05-26 9:26:03.6,2022-05-26 9:26:03.6,0,0,0
29527652,246205805,FLOWD000000000110712,[Mo] 형성평가,instruction,speak,chatbot,"읽동훉님, 형성 평가 문제입니다. 총 11개의 문제가 나올 예정입니다, 건투를 빕니다!",2022-05-26 9:26:03.6,2022-05-26 9:26:03.6,0,0,0
29527652,246205806,FLOWD000000000110712,[Mo] 형성평가,Setting,function,chatbot,Running function,2022-05-26 9:26:03.6,2022-05-26 9:26:03.6,0,0,0
29527652,246205807,FLOWD000000000110712,[Mo] 형성평가,Work Prob no. (counter +1),function,chatbot,Running function,2022-05-26 9:26:03.6,2022-05-26 9:26:03.6,0,0,0
29527652,246205808,FLOWD000000000110712,[Mo] 형성평가,Prob API load (work),api,chatbot,[Call API],2022-05-26 9:26:05.7,2022-05-26 9:26:05.7,0,0,0
29527652,246205809,FLOWD000000000110712,[Mo] 형성평가,Response!,slot,chatbot,#{moCounterOption}번째 문제입니다. (현재까지 #{moCorrectOption}개 정답),2022-05-26 9:26:05.8,2022-05-26 9:26:05.8,0,0,0
29527654,246205813,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,l3m9ws6n@FrogueId,박정민김규범이요,2022-05-26 9:26:16.0,2022-05-26 9:26:16.0,0,0,0
29527654,246205814,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,chatbot,"휴먼의 이름은  ""#{username}"". 맞습니까?",2022-05-26 9:26:16.0,2022-05-26 9:26:16.0,0,0,0
29527654,246205815,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,l3m9ws6n@FrogueId,아니에요. 다시 말할게요.,2022-05-26 9:26:19.7,2022-05-26 9:26:19.7,0,0,0
29527654,246205816,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,chatbot,안녕하세요 휴먼? 저는 Justin이라고 합니다. 이번에 사용하는 휴먼의 이름은 무엇입니까?,2022-05-26 9:26:19.8,2022-05-26 9:26:19.8,0,0,0
29527654,246205819,FLOWD000000000110567,[운동 에너지] 0. 시작,What is yout name? (first one),slot,l3m9ws6n@FrogueId,박정민김규범,2022-05-26 9:26:26.9,2022-05-26 9:26:26.9,0,0,0
29527654,246205820,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,chatbot,"휴먼의 이름은  ""#{username}"". 맞습니까?",2022-05-26 9:26:27.0,2022-05-26 9:26:27.0,0,0,0
29527652,246205821,FLOWD000000000110712,[Mo] 형성평가,Response!,slot,l3m9wjka@FrogueId,4,2022-05-26 9:26:29.2,2022-05-26 9:26:29.2,0,0,0
29527652,246205822,FLOWD000000000110712,[Mo] 형성평가,Is it True~?,split,chatbot,[Condition],2022-05-26 9:26:29.3,2022-05-26 9:26:29.3,0,0,0
29527652,246205823,FLOWD000000000110712,[Mo] 형성평가,correct +1,function,chatbot,Running function,2022-05-26 9:26:29.3,2022-05-26 9:26:29.3,0,0,0
29527652,246205824,FLOWD000000000110712,[Mo] 형성평가,Yes! Okeydokey,speak,chatbot,"정답! 잘 하고 있습니다, 휴먼",2022-05-26 9:26:29.4,2022-05-26 9:26:29.4,0,0,0
29527654,246205825,FLOWD000000000110567,[운동 에너지] 0. 시작,is it right?,slot,l3m9ws6n@FrogueId,맞아요.,2022-05-26 9:26:29.6,2022-05-26 9:26:29.6,0,0,0
29527654,246205826,FLOWD000000000110567,[운동 에너지] 0. 시작,First page,speak,chatbot,"[시작 페이지] 안녕하세요, 박정민김규범님? [Ⅲ-2. 일과 에너지]를 배우고 있는 중입니다. ▶ [확인 문제]: 확인 문제(빈 칸 채우기)를 시작합니다. ▶ [형성 평가 문제]: 형성 평가 문제를 시작합니다. ▶ [FAQ] 질문하기: 이번 단원 질문 내용이 있으면 채팅으로 질문할 수 있습니다. ▶ [후기 남기기]: 챗봇을 사용한 후기를 남길 수 있습니다.  ▶ 언제든 '시작' 또는 '처음으로'를 입력하면 처음 상태로 돌아올 수 있습니다.",2022-05-26 9:26:29.6,2022-05-26 9:26:29.6,0,0,0
